"filename", "language", "TypeScript", "TypeScript React", "JSON with Comments", "JavaScript", "XML", "CSS", "Markdown", "JSON", "comment", "blank", "total"
"/home/cjfritz/dev/freelance-work/full-blast-gear/app/information/page.tsx", "TypeScript React", 0, 112, 0, 0, 0, 0, 0, 0, 0, 3, 115
"/home/cjfritz/dev/freelance-work/full-blast-gear/app/information/shipping/page.tsx", "TypeScript React", 0, 82, 0, 0, 0, 0, 0, 0, 0, 4, 86
"/home/cjfritz/dev/freelance-work/full-blast-gear/app/information/warranties/page.tsx", "TypeScript React", 0, 93, 0, 0, 0, 0, 0, 0, 0, 5, 98
"/home/cjfritz/dev/freelance-work/full-blast-gear/app/layout.tsx", "TypeScript React", 0, 46, 0, 0, 0, 0, 0, 0, 0, 4, 50
"/home/cjfritz/dev/freelance-work/full-blast-gear/app/page.tsx", "TypeScript React", 0, 66, 0, 0, 0, 0, 0, 0, 2, 4, 72
"/home/cjfritz/dev/freelance-work/full-blast-gear/app/policies/cookies/page.tsx", "TypeScript React", 0, 298, 0, 0, 0, 0, 0, 0, 0, 5, 303
"/home/cjfritz/dev/freelance-work/full-blast-gear/app/policies/layout.tsx", "TypeScript React", 0, 25, 0, 0, 0, 0, 0, 0, 0, 4, 29
"/home/cjfritz/dev/freelance-work/full-blast-gear/app/policies/page.tsx", "TypeScript React", 0, 122, 0, 0, 0, 0, 0, 0, 0, 3, 125
"/home/cjfritz/dev/freelance-work/full-blast-gear/app/policies/privacy/page.tsx", "TypeScript React", 0, 455, 0, 0, 0, 0, 0, 0, 0, 4, 459
"/home/cjfritz/dev/freelance-work/full-blast-gear/app/policies/returns/page.tsx", "TypeScript React", 0, 154, 0, 0, 0, 0, 0, 0, 0, 5, 159
"/home/cjfritz/dev/freelance-work/full-blast-gear/app/policies/terms-and-conditions/page.tsx", "TypeScript React", 0, 862, 0, 0, 0, 0, 0, 0, 0, 4, 866
"/home/cjfritz/dev/freelance-work/full-blast-gear/app/products/[handle]/page.tsx", "TypeScript React", 0, 10, 0, 0, 0, 0, 0, 0, 0, 2, 12
"/home/cjfritz/dev/freelance-work/full-blast-gear/app/products/page.tsx", "TypeScript React", 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/home/cjfritz/dev/freelance-work/full-blast-gear/app/providers.tsx", "TypeScript React", 0, 14, 0, 0, 0, 0, 0, 0, 0, 4, 18
