"filename", "language", "TypeScript", "TypeScript React", "CSS", "JSON", "comment", "blank", "total"
"/home/cjfritz/dev/freelance-work/full-blast-gear/components/layout/Cart.tsx", "TypeScript React", 0, 62, 0, 0, 1, 6, 69
"/home/cjfritz/dev/freelance-work/full-blast-gear/components/layout/Lightbox.tsx", "TypeScript React", 0, 7, 0, 0, 0, 3, 10
"/home/cjfritz/dev/freelance-work/full-blast-gear/components/layout/ProductCard.tsx", "TypeScript React", 0, 14, 0, 0, 0, 3, 17
"/home/cjfritz/dev/freelance-work/full-blast-gear/components/layout/ProductGallery.tsx", "TypeScript React", 0, 11, 0, 0, 0, 0, 11
"/home/cjfritz/dev/freelance-work/full-blast-gear/components/layout/ProductImages.tsx", "TypeScript React", 0, 106, 0, 0, 0, 10, 116
"/home/cjfritz/dev/freelance-work/full-blast-gear/components/layout/ProductPanel.tsx", "TypeScript React", 0, 60, 0, 0, 6, 4, 70
"/home/cjfritz/dev/freelance-work/full-blast-gear/components/layout/ProductReviews.tsx", "TypeScript React", 0, 87, 0, 0, 1, 6, 94
"/home/cjfritz/dev/freelance-work/full-blast-gear/components/layout/footer/Footer.tsx", "TypeScript React", 0, 2, 0, 0, 0, 0, 2
"/home/cjfritz/dev/freelance-work/full-blast-gear/components/layout/footer/FooterLinkGroup.tsx", "TypeScript React", 0, 1, 0, 0, 0, 0, 1
"/home/cjfritz/dev/freelance-work/full-blast-gear/components/layout/footer/SocialMediaIcons.tsx", "TypeScript React", 0, 9, 0, 0, 0, 0, 9
"/home/cjfritz/dev/freelance-work/full-blast-gear/components/layout/header/Header.tsx", "TypeScript React", 0, -4, 0, 0, 0, 0, -4
"/home/cjfritz/dev/freelance-work/full-blast-gear/components/layout/header/NavMenu.tsx", "TypeScript React", 0, 4, 0, 0, 0, -1, 3
"/home/cjfritz/dev/freelance-work/full-blast-gear/context/CartContext.tsx", "TypeScript React", 0, 9, 0, 0, 0, 1, 10
"/home/cjfritz/dev/freelance-work/full-blast-gear/judge.me/utils.ts", "TypeScript", -23, 0, 0, 0, 0, -6, -29
"/home/cjfritz/dev/freelance-work/full-blast-gear/judgedotme/utils.ts", "TypeScript", 55, 0, 0, 0, 0, 10, 65
"/home/cjfritz/dev/freelance-work/full-blast-gear/lib/hooks/useLightbox.tsx", "TypeScript React", 0, 20, 0, 0, 0, 6, 26
"/home/cjfritz/dev/freelance-work/full-blast-gear/lib/static/links.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 1
"/home/cjfritz/dev/freelance-work/full-blast-gear/package.json", "JSON", 0, 0, 0, 3, 0, 0, 3
"/home/cjfritz/dev/freelance-work/full-blast-gear/shopify/content/richtext-to-html.tsx", "TypeScript React", 0, 106, 0, 0, 0, 22, 128
"/home/cjfritz/dev/freelance-work/full-blast-gear/shopify/products/products.model.ts", "TypeScript", -45, 0, 0, 0, 0, -3, -48
"/home/cjfritz/dev/freelance-work/full-blast-gear/shopify/richtext-to-html.tsx", "TypeScript React", 0, -106, 0, 0, 0, -22, -128
"/home/cjfritz/dev/freelance-work/full-blast-gear/shopify/utils.ts", "TypeScript", -17, 0, 0, 0, -1, -3, -21
"Total", "-", 220, 3443, 31, 3, 19, 196, 3912
